sku_code,category,metric_type,metric_value
SET268-KR-NP-L,KURTA SET,domestic_sales,8020196.0
SET268-KR-NP-XL,KURTA SET,domestic_sales,6533356.08
J0230-SKD-M,KURTA SET,domestic_sales,4221593.6
SET268-KR-NP-S,KURTA SET,domestic_sales,4539518.16
JNE3405-KR-L,KURTA,domestic_sales,3698260.51
J0230-SKD-L,KURTA SET,domestic_sales,3667403.4
SET268-KR-NP-M,KURTA SET,domestic_sales,2983410.0
JNE3405-KR-M,KURTA,domestic_sales,3372404.67
J0230-SKD-S,KURTA SET,domestic_sales,2399685.7
SET268-KR-NP-XXL,KURTA SET,domestic_sales,2665837.56
SET268-KR-NP-L,KURTA SET,international_sales,17564446.0
SET268-KR-NP-XL,KURTA SET,international_sales,10880628.0
J0230-SKD-M,KURTA SET,international_sales,10211720.0
SET268-KR-NP-S,KURTA SET,international_sales,8901245.0
JNE3405-KR-L,KURTA,international_sales,5895981.0
J0230-SKD-L,KURTA SET,international_sales,5894350.0
SET268-KR-NP-M,KURTA SET,international_sales,5554024.0
JNE3405-KR-M,KURTA,international_sales,5076684.0
J0230-SKD-S,KURTA SET,international_sales,5549020.0
SET268-KR-NP-XXL,KURTA SET,international_sales,3583542.0
SET268-KR-NP-L,KURTA SET,total_sales,25584642.0
SET268-KR-NP-XL,KURTA SET,total_sales,17413984.08
J0230-SKD-M,KURTA SET,total_sales,14433313.6
SET268-KR-NP-S,KURTA SET,total_sales,13440763.16
JNE3405-KR-L,KURTA,total_sales,9594241.51
J0230-SKD-L,KURTA SET,total_sales,9561753.4
SET268-KR-NP-M,KURTA SET,total_sales,8537434.0
JNE3405-KR-M,KURTA,total_sales,8449088.67
J0230-SKD-S,KURTA SET,total_sales,7948705.7
SET268-KR-NP-XXL,KURTA SET,total_sales,6249379.56
